,Main Quests,,,,Side Quests,,,,
,Quest Name,Location,,,Quest Name,Location,,Main Quest Completion,
0,Gaoled Awakening,Vermund,,0,A Beggar's Tale,Vermund,,,
0,Tale's Beginning,Vermund,,0,A Case of Sculptor's Block,Vermund,,0,0%
0,In Dragon's Wake,Vermund,,0,A Game of Wits,Vermund,,,
0,Seat of the Sovran,Vermund,,0,A Magisterial Amenity,Vermund,,17,
0,Monster Culling,Vermund,,0,A Noble Exchange,Vermund,,,
0,Disa's Plot,Vermund,,0,A Place to Call Home,Vermund,,,
0,The Caged Magistrate,Vermund,,0,Crossing in Shadow,Vermund,,,
0,The Nameless Village,Vermund,,0,A Poisonous Proposal,Battahl,,Side Quest Completion,
0,The Stolen Throne,Vermund,,0,Beren's Final Lesson,Vermund,,,
0,An Unsettling Encounter,Vermund,,0,Brothers Brave and Timid,Vermund,,0,0%
0,Feast of Deception,Vermund,,0,Civil Unrest,Unmoored World,,,
0,Nation of The Lambent Flame,Battahl,,0,Claw Them Into Shape,Vermund,,55,
0,Flickering Shadows,Battahl,,0,"Dulled Steel, Cold Forge",Vermund,,,
0,Convergence,Battahl,,0,"Steeled Resolve, Blazing Forge",Battahl,,,
0,A New Godsway,Battahl,,0,Every Rose Has Its Thorn,Vermund/Romance,,,
0,The Guardian Gigantus,Battahl,,0,Gift of the Bow,Vermund,,Unmoored Main Quest Completion,
0,Legacy,Battahl,,0,A Trial of Archery,Vermund,,,
0,Dreams Apart,Unmoored World,,0,The Ailing Arborheart,Vermund,,0,0%
0,A Scholarly Pursuit,Unmoored World,,0,"Out of the Forest, Into the Forge",Battahl,,,
0,Halls of the First Dawn,Unmoored World,,0,Hunt for the Jadeite Orb,Vermund,,4,
0,When Wills Collide,Unmoored World,,0,Masked Correspondence,Vermund,,,
,,,,0,A Veil of Gossamer Clouds,Vermund,,,
,,,,0,Medicament Predicament,Vermund,,,
INFO,,,,0,Mercy Among Thieves,Vermund,,Unmoored Side Quest Completion,
,,,,0,Off the Pilfered Path,Vermund,,,
,,,,0,Nesting Troubles,Vermund,,0,0%
"Main Quests are in order of completion while Side Quests are in alphabetical order (mostly). The quests that are grouped together in a box are chained Side Quests. Side Quests with a yellow background require a Main Quest to be completed or started to continue, and the ones with a purple background need a Side Quest to be completed to continue. ",,,,0,One-Eyed Interloper,Vermund,,,
,,,,0,Ordeals of a New Recruit,Vermund,,5,
,,,,0,Oxcart Courier,Vermund,,,
,,,,0,Prey for the Pack,Vermund,,,
,,,,0,Put a Spring in Thy Step,Volcanic Island,,,
,,,,0,Saint of the Slums,Vermund,,,
,,,,0,Scaly Invaders,Vermund,,,
,,,,0,Readvent of Calamity,Vermund/Romance,,,
,,,,0,Trouble on the Cape,Vermund,,,
,,,,0,Home Is Where the Hearth Is,Vermund/Romance,,,
,,,,0,Shadowed Prayers,Volcanic Island,,,
,,,,0,A Candle in the Storm,Volcanic Island,,,
,,,,0,Shepherd of the Pawns,Unmoored World,,,
,,,,0,Short-Sighted Ambition,Battahl,,,
,,,,0,Spellbound,Vermund,,,
,,,,0,The Arisen's Shadow,Vermund,,,
,,,,0,The Gift of Giving,Vermund,,,
,,,,0,House of the Blue Sunbright,Vermund,,,
,,,,0,The Heel of History,Vermund,,,
,,,,0,The Importance of Aiding Ernesto,Unmoored World,,,
,,,,0,The Ornate Box,Vermund,,,
,,,,0,The Phantom Oxcart,Vermund,,,
,,,,0,The Provisioner's Plight,Vermund,,,
,,,,0,The Regentkin's Resolve,Unmoored World,,,
,,,,0,The Sorcerer's Appraisal,Vermund,,,
,,,,0,The Sotted Sage,Volcanic Island,,,
,,,,0,Till Death Do Us Part,Vermund,,,
,,,,0,Tolled to Rest,Vermund,,,
,,,,0,Twixt a Rock and a Hard Place,Battahl,,,
,,,,0,Vocation Frustration,Vermund,,,
,,,,0,Wandering Roots,Unmoored World,,,
,,,,0,Welcome to Battahl,Battahl,,,
,,,,0,Tensions on the Highroad,Vermund,,,
,,,,0,Clash and Conclusion,Volcanic Island,,,
